"iso_2","iso_3","country","fuel_type","total_tax_pct","oecd_avg_total_tax_pct"
"AT","AUT","Austria","diesel_total_tax_pct_price",50.6296978611,46.4224073314395
"AU","AUS","Australia","diesel_total_tax_pct_price",37.5296043656207,46.4224073314395
"BE","BEL","Belgium","diesel_total_tax_pct_price",56.7991250934912,46.4224073314395
"CA","CAN","Canada","diesel_total_tax_pct_price",26.9747899159664,46.4224073314395
"CH","CHE","Switzerland","diesel_total_tax_pct_price",52.0060711292679,46.4224073314395
"CL","CHL","Chile","diesel_total_tax_pct_price",28.1248152820602,46.4224073314395
"CO","COL","Colombia","diesel_total_tax_pct_price",14.3500240413246,46.4224073314395
"CZ","CZE","Czech Republic","diesel_total_tax_pct_price",51.9175531075408,46.4224073314395
"DE","DEU","Germany","diesel_total_tax_pct_price",52.326870277156,46.4224073314395
"DK","DNK","Denmark","diesel_total_tax_pct_price",51.1406146849556,46.4224073314395
"EE","EST","Estonia","diesel_total_tax_pct_price",61.25,46.4224073314395
"ES","ESP","Spain","diesel_total_tax_pct_price",48.5390946502058,46.4224073314395
"FI","FIN","Finland","diesel_total_tax_pct_price",57.0467637329944,46.4224073314395
"FR","FRA","France","diesel_total_tax_pct_price",58.910825815406,46.4224073314395
"GB","GBR","United Kingdom","diesel_total_tax_pct_price",60.7433324079391,46.4224073314395
"GR","GRC","Greece","diesel_total_tax_pct_price",49.2097554155693,46.4224073314395
"HU","HUN","Hungary","diesel_total_tax_pct_price",49.5177663633115,46.4224073314395
"IE","IRL","Ireland","diesel_total_tax_pct_price",54.854552323385,46.4224073314395
"IL","ISR","Israel","diesel_total_tax_pct_price",58.5201793721973,46.4224073314395
"IS","ISL","Iceland","diesel_total_tax_pct_price",55.813837730214,46.4224073314395
"IT","ITA","Italy","diesel_total_tax_pct_price",59.7625581269601,46.4224073314395
"JP","JPN","Japan","diesel_total_tax_pct_price",34,46.4224073314395
"KR","KOR","Korea","diesel_total_tax_pct_price",48.5345985140095,46.4224073314395
"LT","LTU","Lithuania","diesel_total_tax_pct_price",47.2413793103448,46.4224073314395
"LU","LUX","Luxembourg","diesel_total_tax_pct_price",46.1433756805808,46.4224073314395
"LV","LVA","Latvia","diesel_total_tax_pct_price",50.8502024291498,46.4224073314395
"MX","MEX","Mexico","diesel_total_tax_pct_price",13.8048908756245,46.4224073314395
"NL","NLD","Netherlands","diesel_total_tax_pct_price",53.7688971983563,46.4224073314395
"NO","NOR","Norway","diesel_total_tax_pct_price",54.2895263509006,46.4224073314395
"NZ","NZL","New Zealand","diesel_total_tax_pct_price",15.9741984050826,46.4224073314395
"PL","POL","Poland","diesel_total_tax_pct_price",47.7790846411868,46.4224073314395
"PT","PRT","Portugal","diesel_total_tax_pct_price",54.3362008493952,46.4224073314395
"SE","SWE","Sweden","diesel_total_tax_pct_price",49.7013679275576,46.4224073314395
"SI","SVN","Slovenia","diesel_total_tax_pct_price",55.0161812297735,46.4224073314395
"SK","SVK","Slovak Republic","diesel_total_tax_pct_price",46.8032786885246,46.4224073314395
"TR","TUR","Turkey","diesel_total_tax_pct_price",43.3194138162937,46.4224073314395
