"country","year","vrr","iso_2","iso_3"
"Australia","1976",NA,"AU","AUS"
"Australia","1984",NA,"AU","AUS"
"Australia","1980",NA,"AU","AUS"
"Australia","2000",NA,"AU","AUS"
"Australia","1996",NA,"AU","AUS"
"Australia","1988",NA,"AU","AUS"
"Australia","1992",NA,"AU","AUS"
"Austria","1992",0.61,"AT","AUT"
"Austria","1980",0.652977596751786,"AT","AUT"
"Austria","1976",0.657800008523806,"AT","AUT"
"Austria","1988",0.621139035523466,"AT","AUT"
"Austria","1984",0.642292551260881,"AT","AUT"
"Austria","1996",0.6,"AT","AUT"
"Austria","2000",0.61,"AT","AUT"
"Belgium","1976",0.562241985468678,"BE","BEL"
"Belgium","1984",0.49135196808214,"BE","BEL"
"Belgium","1988",0.519596484627135,"BE","BEL"
"Belgium","1980",0.601150658623971,"BE","BEL"
"Belgium","2000",0.51,"BE","BEL"
"Belgium","1996",0.46,"BE","BEL"
"Belgium","1992",0.5,"BE","BEL"
"Canada","1988",NA,"CA","CAN"
"Canada","1984",NA,"CA","CAN"
"Canada","2000",0.49,"CA","CAN"
"Canada","1980",NA,"CA","CAN"
"Canada","1996",0.47,"CA","CAN"
"Canada","1976",NA,"CA","CAN"
"Canada","1992",0.43,"CA","CAN"
"Chile","1984",NA,"CL","CHL"
"Chile","2000",0.64,"CL","CHL"
"Chile","1996",0.67,"CL","CHL"
"Chile","1980",NA,"CL","CHL"
"Chile","1992",0.63,"CL","CHL"
"Chile","1976",NA,"CL","CHL"
"Chile","1988",NA,"CL","CHL"
"Colombia","2000",0.35,"CO","COL"
"Colombia","1996",NA,"CO","COL"
"Colombia","1992",NA,"CO","COL"
"Czech Republic","1976",NA,"CZ","CZE"
"Czech Republic","1988",NA,"CZ","CZE"
"Czech Republic","1992",NA,"CZ","CZE"
"Czech Republic","1996",0.43,"CZ","CZE"
"Czech Republic","2000",0.42,"CZ","CZE"
"Czech Republic","1980",NA,"CZ","CZE"
"Czech Republic","1984",NA,"CZ","CZE"
"Denmark","1992",0.56,"DK","DNK"
"Denmark","1988",0.599010396965927,"DK","DNK"
"Denmark","2000",0.59,"DK","DNK"
"Denmark","1996",0.57,"DK","DNK"
"Denmark","1976",0.63432571741345,"DK","DNK"
"Denmark","1984",0.601340215746281,"DK","DNK"
"Denmark","1980",0.604630134589147,"DK","DNK"
"Estonia","2000",0.71,"EE","EST"
"Estonia","1976",NA,"EE","EST"
"Estonia","1996",0.72,"EE","EST"
"Estonia","1980",NA,"EE","EST"
"Estonia","1992",NA,"EE","EST"
"Estonia","1984",NA,"EE","EST"
"Estonia","1988",NA,"EE","EST"
"Finland","1996",0.54,"FI","FIN"
"Finland","1976",NA,"FI","FIN"
"Finland","1992",NA,"FI","FIN"
"Finland","1988",NA,"FI","FIN"
"Finland","1984",NA,"FI","FIN"
"Finland","2000",0.61,"FI","FIN"
"Finland","1980",NA,"FI","FIN"
"France","2000",0.51,"FR","FRA"
"France","1976",0.652770691452783,"FR","FRA"
"France","1988",0.61684859903732,"FR","FRA"
"France","1992",0.54,"FR","FRA"
"France","1980",0.690844635301038,"FR","FRA"
"France","1996",0.53,"FR","FRA"
"France","1984",0.624735437913122,"FR","FRA"
"Germany","1992",0.61,"DE","DEU"
"Germany","1976",0.549278509790754,"DE","DEU"
"Germany","1980",0.560615052738783,"DE","DEU"
"Germany","1996",0.6,"DE","DEU"
"Germany","1988",0.494293381917722,"DE","DEU"
"Germany","1984",0.513728565969569,"DE","DEU"
"Germany","2000",0.61,"DE","DEU"
"Greece","2000",0.45,"GR","GRC"
"Greece","1976",NA,"GR","GRC"
"Greece","1996",0.41,"GR","GRC"
"Greece","1980",NA,"GR","GRC"
"Greece","1992",0.47,"GR","GRC"
"Greece","1984",NA,"GR","GRC"
"Greece","1988",0.459617242640311,"GR","GRC"
"Hungary","1976",NA,"HU","HUN"
"Hungary","1992",0.3,"HU","HUN"
"Hungary","2000",0.52,"HU","HUN"
"Hungary","1996",0.43,"HU","HUN"
"Hungary","1980",NA,"HU","HUN"
"Hungary","1988",NA,"HU","HUN"
"Hungary","1984",NA,"HU","HUN"
"Iceland","1976",NA,"IS","ISL"
"Iceland","1996",0.54,"IS","ISL"
"Iceland","2000",0.58,"IS","ISL"
"Iceland","1980",NA,"IS","ISL"
"Iceland","1992",0.63,"IS","ISL"
"Iceland","1988",NA,"IS","ISL"
"Iceland","1984",NA,"IS","ISL"
"Ireland","1992",0.45,"IE","IRL"
"Ireland","1976",0.297184516347059,"IE","IRL"
"Ireland","1996",0.52,"IE","IRL"
"Ireland","2000",0.61,"IE","IRL"
"Ireland","1984",0.436938080120609,"IE","IRL"
"Ireland","1988",0.415603938427874,"IE","IRL"
"Ireland","1980",0.209741400710164,"IE","IRL"
"Israel","1976",NA,"IL","ISR"
"Israel","1988",NA,"IL","ISR"
"Israel","1980",NA,"IL","ISR"
"Israel","1992",NA,"IL","ISR"
"Israel","1996",0.66,"IL","ISR"
"Israel","1984",NA,"IL","ISR"
"Israel","2000",0.62,"IL","ISR"
"Italy","1976",0.440902005744885,"IT","ITA"
"Italy","1984",0.381335459770484,"IT","ITA"
"Italy","1988",0.402894961518065,"IT","ITA"
"Italy","2000",0.43,"IT","ITA"
"Italy","1996",0.39,"IT","ITA"
"Italy","1992",0.37,"IT","ITA"
"Italy","1980",0.416323961423967,"IT","ITA"
"Japan","1996",0.71,"JP","JPN"
