"iso_2","iso_3","country","year","beer_excise_hl_usd","beer_low_alc_usd","still_wine_excise_hl_usd","sparkling_wine_excise_hl_usd","low_alc_excise_hl_usd","alc_excise_hl_usd","small_dist_rate","cigarette_excise_1k_usd","cigarette_excise_1k_pct_rsp","cigar_excise_1k_usd","cigar_excise_1k_pct_rsp","roll_tob_excise_1kg_usd","roll_tob_excise_1kg_pct_rsp","cig_pack_ex_tax_price_usd","cig_pack_specific_pct_rsp","cig_pack_ad_val_pct_rsp","cig_pack_sales_pct_rsp","cig_pack_total_tax_pct_rsp","cig_pack_price_usd","unleaded_total_tax_pct_price","unleaded_excise_pct_price","diesel_total_tax_pct_price","diesel_excise_pct_price","household_fuel_total_tax_pct_price","household_fuel_excise_pct_price"
"AT","AUT","Austria",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37147688838782,20,39,16.67,75.67,5.6369785794814,NA,NA,NA,NA,NA,NA
"AT","AUT","Austria",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13102654867257,24.36,37.5,16.67,78.52,5.26548672566372,NA,NA,NA,NA,NA,NA
"AT","AUT","Austria",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.0813172043011,41.4146505376344,59.375,42.7083333333333,31.9842608206858,15.3175941540191
"AT","AUT","Austria",2018,5.61797752808989,NA,0,112.359550561798,0,1348.31460674157,1,65.1685393258427,37.5,0,13,0,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT","AUT","Austria",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.0479523528929,39.3812856862263,50.6296978611,33.9630588309425,30.4292929292929,13.7626262626263
"AT","AUT","Austria",2020,5.61797752808989,NA,0,112.359550561798,0,1348.31460674157,1,65.1685393258427,37.5,0,13,0,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AU","AUS","Australia",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.39333333333333,51.17,0,9.09,60.27,16.0919540229885,NA,NA,NA,NA,NA,NA
"AU","AUS","Australia",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.61540229885058,49.8,0,9.09,58.89,16.0919540229885,NA,NA,NA,NA,NA,NA
"AU","AUS","Australia",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.2088688513559,27.1179597604468,41.031941031941,31.9410319410319,NA,NA
"AU","AUS","Australia",2018,NA,NA,NA,NA,NA,6187.02290076336,0,405.312977099237,0,NA,0,506.656488549618,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AU","AUS","Australia",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9270672829995,26.8361581920904,37.5296043656207,28.5129604365621,NA,NA
"AU","AUS","Australia",2020,NA,NA,NA,NA,NA,5628.47222222222,0,650.368055555556,0,NA,0,897.0625,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE","BEL","Belgium",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73069673055242,12.51,45.84,17.36,75.71,7.12514092446449,NA,NA,NA,NA,NA,NA
"BE","BEL","Belgium",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57091150442478,14.33,45.84,17.36,77.53,6.99115044247788,NA,NA,NA,NA,NA,NA
