"","category","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","reference"
"1","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"2","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","2"
"3","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
"4","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"5","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5"
"6","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6"
"7","Standard rate","-","-","-","-","-","-","16","16","16","18","18","18","18","18","18","18","18","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","7"
"8","Implementation dates",NA,NA,NA,NA,NA,NA,"26665",NA,NA,"27760",NA,NA,NA,NA,NA,NA,NA,"30682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8"
"9","Reduced rates","-","-","-","-","-","-","8","8","8","8","8","8","8","8","13.0/8.0","13.0/8.0","13.0/8.0","10","10","10","10","10","10","10","10","10","10","10","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/13.0","10.0/13.0","10.0/13.0","10.0/13.0","10.0/13.0","9"
"10","Implementation dates",NA,NA,NA,NA,NA,NA,"26665",NA,NA,NA,NA,NA,NA,NA,"29587",NA,NA,"30682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42370",NA,NA,NA,NA,"10"
