"iso_3","tax","variable","year","value","country","iso_2"
"AUS","5000 Consumption","% of GDP","2000",8.776,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2000",28.813,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2001",8.814,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2001",30.471,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2002",9.091,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2002",30.507,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2003",8.953,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2003",29.88,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2004",8.688,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2004",28.699,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2005",8.414,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2005",28.07,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2006",8.097,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2006",27.551,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2007",7.971,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2007",27.003,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2008",7.473,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2008",27.855,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2009",7.58,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2009",29.688,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2010",7.324,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2010",28.986,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2011",7.096,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2011",27.411,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2012",7.623,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2012",28.327,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2013",7.763,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2013",28.637,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2014",7.326,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2014",26.862,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2015",7.707,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2015",27.624,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2016",7.481,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2016",27.086,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2017",7.495,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2017",26.301,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2018",7.3,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2018",25.454,"Australia","AU"
"AUS","5000 Consumption","% of GDP","2019",7.3,"Australia","AU"
"AUS","5000 Consumption","% of Total Revenue","2019",25.454,"Australia","AU"
"AUS","5111 VAT","% of GDP","2000",3.383,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2000",11.108,"Australia","AU"
"AUS","5111 VAT","% of GDP","2001",3.631,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2001",12.553,"Australia","AU"
