"iso_2","iso_3","country","continent","year","tax","variable","value"
"AU","AUS","Australia","OC","2016","5000 Consumption","% of GDP",7.481
"AU","AUS","Australia","OC","2017","5000 Consumption","% of GDP",7.495
"AU","AUS","Australia","OC","2018","5000 Consumption","% of GDP",7.3
"AU","AUS","Australia","OC","2016","5112 Sales","% of Total Revenue",0.313
"AU","AUS","Australia","OC","2017","5112 Sales","% of Total Revenue",0.311
"AU","AUS","Australia","OC","2018","5112 Sales","% of Total Revenue",0.301
"AU","AUS","Australia","OC","2016","5111 VAT","% of Total Revenue",12.878
"AU","AUS","Australia","OC","2016","5112 Sales","% of GDP",0.086
"AU","AUS","Australia","OC","2017","5112 Sales","% of GDP",0.089
"AU","AUS","Australia","OC","2018","5112 Sales","% of GDP",0.086
"AU","AUS","Australia","OC","2017","5000 Consumption","% of Total Revenue",26.301
"AU","AUS","Australia","OC","2016","5121 Excise","% of GDP",1.291
"AU","AUS","Australia","OC","2016","5111 VAT","% of GDP",3.557
"AU","AUS","Australia","OC","2016","5000 Consumption","% of Total Revenue",27.086
"AU","AUS","Australia","OC","2017","5111 VAT","% of GDP",3.463
"AU","AUS","Australia","OC","2018","5000 Consumption","% of Total Revenue",25.454
"AU","AUS","Australia","OC","2017","5111 VAT","% of Total Revenue",12.152
"AU","AUS","Australia","OC","2018","5111 VAT","% of Total Revenue",11.666
"AU","AUS","Australia","OC","2017","5121 Excise","% of Total Revenue",4.49
"AU","AUS","Australia","OC","2018","5111 VAT","% of GDP",3.346
"AU","AUS","Australia","OC","2018","5121 Excise","% of GDP",1.258
"AU","AUS","Australia","OC","2016","5121 Excise","% of Total Revenue",4.675
"AU","AUS","Australia","OC","2017","5121 Excise","% of GDP",1.28
"AU","AUS","Australia","OC","2018","5121 Excise","% of Total Revenue",4.387
"AT","AUT","Austria","EU","2019","5000 Consumption","% of GDP",11.688
"AT","AUT","Austria","EU","2017","5000 Consumption","% of GDP",11.879
"AT","AUT","Austria","EU","2018","5000 Consumption","% of GDP",11.704
"AT","AUT","Austria","EU","2019","5000 Consumption","% of Total Revenue",27.538
"AT","AUT","Austria","EU","2016","5000 Consumption","% of GDP",11.924
"AT","AUT","Austria","EU","2018","5112 Sales","% of Total Revenue",0
"AT","AUT","Austria","EU","2019","5112 Sales","% of Total Revenue",0
"AT","AUT","Austria","EU","2016","5112 Sales","% of GDP",0
"AT","AUT","Austria","EU","2017","5112 Sales","% of Total Revenue",0
"AT","AUT","Austria","EU","2017","5111 VAT","% of GDP",7.646
"AT","AUT","Austria","EU","2018","5111 VAT","% of GDP",7.602
"AT","AUT","Austria","EU","2019","5111 VAT","% of GDP",7.637
"AT","AUT","Austria","EU","2016","5111 VAT","% of GDP",7.643
"AT","AUT","Austria","EU","2016","5112 Sales","% of Total Revenue",0
"AT","AUT","Austria","EU","2019","5111 VAT","% of Total Revenue",17.992
"AT","AUT","Austria","EU","2016","5000 Consumption","% of Total Revenue",28.535
"AT","AUT","Austria","EU","2018","5000 Consumption","% of Total Revenue",27.726
"AT","AUT","Austria","EU","2018","5111 VAT","% of Total Revenue",18.01
"AT","AUT","Austria","EU","2017","5112 Sales","% of GDP",0
"AT","AUT","Austria","EU","2018","5112 Sales","% of GDP",0
"AT","AUT","Austria","EU","2017","5000 Consumption","% of Total Revenue",28.449
"AT","AUT","Austria","EU","2017","5111 VAT","% of Total Revenue",18.31
"AT","AUT","Austria","EU","2016","5121 Excise","% of GDP",2.217
"AT","AUT","Austria","EU","2017","5121 Excise","% of GDP",2.234
"AT","AUT","Austria","EU","2018","5121 Excise","% of GDP",2.125
"AT","AUT","Austria","EU","2019","5121 Excise","% of GDP",2.061
"AT","AUT","Austria","EU","2019","5112 Sales","% of GDP",0
"AT","AUT","Austria","EU","2017","5121 Excise","% of Total Revenue",5.35
"AT","AUT","Austria","EU","2018","5121 Excise","% of Total Revenue",5.034
